武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親
前田,慶次,65,93,70,34,45,158,79,307,滝川益重,まえだ,けいじ,1543年,1558年,1612年,70,前田利久,天下統一,傾奇者,殲滅,本陣斬込,勲功,4,-
丹羽,長秀,81,73,84,84,78,154,162,400,-,にわ,ながひで,1535年,1550年,1585年,51,-,領地保全,采配,万全,囮挑発,家名,6,-
丹羽,長重,61,54,45,48,43,115,91,251,丹羽長秀,にわ,ながしげ,1571年,1586年,1637年,67,-,家名存続,用心,斥候,神出鬼没,家名,9,-
木下,秀吉,95,80,97,95,92,175,187,459,木下弥右衛門,きのした,ひでよし,1537年,1552年,1598年,62,-,立身出世,大返し,合流,神出鬼没,才覚,9,-
木下,秀頼,52,43,43,55,47,95,102,240,木下秀吉,きのした,ひでより,1593年,1608年,1615年,23,-,天下統一,臨戦,万全,囮挑発,家名,7,-
木下,秀長,79,63,86,85,91,142,176,404,木下弥右衛門,きのした,ひでなが,1540年,1555年,1591年,52,-,天下統一,挟撃巧者,参謀,神出鬼没,才覚,3,-
三好,秀次,37,51,34,54,40,88,94,216,-,みよし,ひでつぐ,1568年,1583年,1595年,28,-,家督継承,臨戦,万全,囮挑発,才覚,11,-
木下,秀秋,58,60,67,61,65,118,126,311,木下家定,きのした,ひであき,1582年,1597年,1602年,21,-,家名存続,臥薪嘗胆,奪力,本陣斬込,家名,9,-
塙,直政,56,64,44,67,54,120,121,285,-,ばん,なおまさ,1532年,1547年,1576年,45,-,家名存続,急襲,復帰,囮挑発,勲功,5,-
前田,利家,80,86,72,80,75,166,155,393,前田利春,まえだ,としいえ,1538年,1553年,1599年,62,-,領地保全,足止め,殲滅,全軍突撃,勲功,8,-
前田,利長,58,53,61,69,66,111,135,307,前田利家,まえだ,としなが,1562年,1577年,1614年,53,-,家名存続,気勢崩し,堅固,囮挑発,家名,7,-
金森,長近,61,56,65,59,63,117,122,304,-,かなもり,ながちか,1525年,1540年,1608年,84,-,所領拡大,足止め,回避,神出鬼没,芸道,7,-
蜂須賀,小六,71,79,82,66,83,150,149,381,-,はちすか,ころく,1526年,1541年,1586年,61,-,所領拡大,急襲,猛攻,全軍突撃,実利,5,-
蜂須賀,家政,61,54,82,77,81,115,158,355,蜂須賀小六,はちすか,いえまさ,1558年,1573年,1638年,81,-,領地保全,急襲,復帰,囮挑発,実利,9,-
蜂屋,頼隆,55,66,49,36,38,121,74,244,-,はちや,よりたか,1534年,1549年,1589年,56,-,家名存続,突撃,速攻,全軍突撃,才覚,6,-
古田,織部,26,30,66,67,66,56,133,255,-,ふるた,おりべ,1544年,1559年,1615年,72,-,所領拡大,お調子者,奪力,囮挑発,芸道,11,-
森,可成,70,83,65,44,51,153,95,313,-,もり,よしなり,1523年,1538年,1570年,48,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,4,-
森,長可,60,87,61,35,34,147,69,277,森可成,もり,ながよし,1558年,1573年,1584年,27,-,領地保全,死兵,猛攻,全軍突撃,勲功,6,-
森,蘭丸,49,70,71,75,74,119,149,339,森可成,もり,らんまる,1565年,1577年,1582年,18,-,家名存続,挟撃巧者,地利,神出鬼没,勲功,4,-
平野,長泰,51,66,49,41,41,117,82,248,-,ひらの,ながやす,1559年,1574年,1628年,70,-,所領拡大,突撃,速攻,全軍突撃,才覚,7,-
生駒,親正,50,47,50,65,58,97,123,270,-,いこま,ちかまさ,1535年,1550年,1603年,69,-,家名存続,気勢崩し,堅固,囮挑発,才覚,6,-
佐久間,盛政,71,85,65,37,48,156,85,306,佐久間盛次,さくま,もりまさ,1553年,1568年,1583年,31,-,領地保全,死兵,猛攻,全軍突撃,家名,8,-
佐久間,勝政,52,67,51,39,41,119,80,250,佐久間盛次,さくま,かつまさ,1554年,1569年,1597年,44,-,家名存続,突撃,速攻,全軍突撃,勲功,8,-
佐久間,安政,43,60,44,38,37,103,75,222,佐久間盛次,さくま,やすまさ,1555年,1570年,1627年,73,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-
前野,長康,62,67,61,37,46,129,83,273,-,まえの,ながやす,1528年,1543年,1595年,68,-,領地保全,急襲,猛攻,全軍突撃,実利,7,-
堀,秀政,86,81,86,80,77,167,157,410,堀秀重,ほり,ひでまさ,1553年,1568年,1590年,38,-,領地保全,逆撫で,野襲,本陣斬込,才覚,5,-
堀,秀治,50,53,57,63,61,103,124,284,堀秀政,ほり,ひではる,1576年,1591年,1606年,31,-,家名存続,臨戦,万全,囮挑発,勲功,8,-
村井,貞勝,28,31,74,90,95,59,185,318,-,むらい,さだかつ,1520年,1535年,1582年,63,-,所領拡大,激励,堅固,囮挑発,実利,3,-
浅野,長政,44,46,62,82,73,90,155,307,-,あさの,ながまさ,1547年,1562年,1611年,65,-,家名存続,死兵,地利,本陣斬込,家名,7,-
浅野,幸長,61,67,66,66,67,128,133,327,浅野長政,あさの,よしなが,1576年,1591年,1613年,38,-,領地保全,急襲,猛攻,全軍突撃,勲功,8,-
浅野,長晟,50,64,59,53,56,114,109,282,浅野長政,あさの,ながあきら,1586年,1601年,1632年,47,-,家名存続,叱咤,殲滅,全軍突撃,才覚,7,-
小野木,重次,52,60,53,53,51,112,104,269,-,おのぎ,しげつぐ,1563年,1578年,1600年,38,-,所領拡大,突撃,速攻,全軍突撃,勲功,3,-
加藤,清正,81,88,79,69,71,169,140,388,-,かとう,きよまさ,1562年,1577年,1611年,50,-,天下統一,虎狩り,奪力,本陣斬込,仁義,7,-
加藤,嘉明,78,74,78,53,54,152,107,337,-,かとう,よしあきら,1563年,1578年,1631年,69,-,領地保全,死兵,地利,本陣斬込,才覚,7,-
仙石,権兵衛,44,84,60,31,28,128,59,247,-,せんごく,ごんべえ,1551年,1566年,1614年,64,-,家名存続,先行突貫,復帰,本陣斬込,勲功,11,-
寺沢,広高,43,43,56,69,64,86,133,275,-,てらざわ,ひろたか,1563年,1578年,1633年,71,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,8,-
戸田,勝成,69,71,56,36,43,140,79,275,-,とだ,かつしげ,1553年,1568年,1600年,48,-,所領拡大,突撃,速攻,全軍突撃,勲功,3,-
中村,一氏,55,47,49,59,53,102,112,263,-,なかむら,かずうじ,1554年,1569年,1600年,47,-,領地保全,叱咤,殲滅,全軍突撃,勲功,8,-
福島,正則,79,90,69,52,53,169,105,343,福島正信,ふくしま,まさのり,1561年,1576年,1624年,64,-,所領拡大,死兵,復帰,全軍突撃,勲功,6,-
堀尾,吉晴,58,53,62,70,67,111,137,310,-,ほりお,よしはる,1543年,1558年,1611年,69,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,6,-
増田,長盛,45,42,58,88,88,87,176,321,-,ました,ながもり,1545年,1560年,1615年,71,-,家名存続,激励,堅固,囮挑発,才覚,8,-
溝口,秀勝,49,52,57,55,55,101,110,268,-,みぞぐち,ひでかつ,1548年,1563年,1610年,63,-,領地保全,臨戦,万全,囮挑発,勲功,7,-
山内,一豊,64,67,54,65,60,131,125,310,山内盛豊,やまうち,かずとよ,1546年,1561年,1605年,60,-,家名存続,叱咤,殲滅,全軍突撃,勲功,10,-
徳永,寿昌,33,41,65,62,65,74,127,266,-,とくなが,ながまさ,1549年,1564年,1612年,64,-,所領拡大,足止め,回避,神出鬼没,勲功,9,-
徳山,則秀,41,53,48,57,52,94,109,251,-,とくやま,のりひで,1544年,1559年,1606年,63,-,家名存続,気勢崩し,堅固,囮挑発,勲功,6,-
百々,安信,43,49,53,68,61,92,129,274,-,どど,やすのぶ,1548年,1563年,1609年,62,-,領地保全,死兵,地利,本陣斬込,勲功,7,-
原,長頼,65,69,58,42,47,134,89,281,-,はら,ながより,1544年,1559年,1600年,57,-,家名存続,突撃,速攻,全軍突撃,実利,8,-
塙,団右衛門,61,74,30,24,24,135,48,213,-,ばん,だんえもん,1567年,1582年,1615年,49,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,9,-
平岡,頼勝,35,37,68,52,60,72,112,252,-,ひらおか,よりかつ,1560年,1575年,1607年,48,-,領地保全,足止め,回避,神出鬼没,才覚,12,-
平塚,為広,69,79,63,35,43,148,78,289,-,ひらつか,ためひろ,1566年,1581年,1600年,35,-,領地保全,死兵,復帰,全軍突撃,仁義,3,-
松野,重元,67,69,44,29,31,136,60,240,-,まつの,しげもと,1573年,1588年,1655年,83,-,家名存続,死兵,斥候,全軍突撃,実利,4,-
毛受,勝照,52,67,40,27,27,119,54,213,-,めんじゅ,かつてる,1551年,1566年,1583年,33,-,所領拡大,突撃,速攻,全軍突撃,仁義,3,-
毛利,勝永,80,85,74,46,60,165,106,345,-,もうり,かつなが,1577年,1592年,1615年,39,-,天下統一,奮闘,猛攻,神出鬼没,仁義,4,-
斎藤,道三,89,76,95,82,84,165,166,426,-,さいとう,どうさん,1494年,1509年,1556年,63,-,乱世の蝮,梟雄,名将,神出鬼没,実利,15,-
斎藤,義龍,77,76,69,58,65,153,123,345,斎藤道三,さいとう,よしたつ,1527年,1542年,1561年,35,-,領地保全,突撃,速攻,全軍突撃,家名,12,-
斎藤,龍興,31,39,32,43,33,70,76,178,斎藤義龍,さいとう,たつおき,1548年,1563年,1573年,26,-,家名存続,臨戦,万全,囮挑発,家名,9,-
斎藤,利三,81,78,86,50,61,159,111,356,-,さいとう,としみつ,1534年,1549年,1582年,49,-,天下統一,挟撃巧者,疾走,神出鬼没,実利,8,-
明智,光秀,95,85,94,92,93,180,185,459,明智光綱,あけち,みつひで,1528年,1543年,1582年,55,-,天が下知る,麒麟児,復讐,本陣斬込,野心,10,妻木熙子
明智,秀満,74,77,81,47,47,151,94,326,-,あけち,ひでみつ,1537年,1552年,1582年,46,-,家名存続,急襲,猛攻,全軍突撃,仁義,4,-
安藤,守就,45,51,72,58,65,96,123,291,-,あんどう,もりなり,1523年,1538年,1582年,60,-,所領拡大,足止め,回避,神出鬼没,家名,11,-
稲葉,一鉄,76,70,71,69,71,146,140,357,-,いなば,いってつ,1515年,1530年,1588年,74,-,家名存続,急襲,猛攻,全軍突撃,勲功,9,-
稲葉,貞通,50,60,47,55,49,110,104,261,稲葉一鉄,いなば,さだみち,1546年,1561年,1603年,58,-,家名存続,突撃,速攻,全軍突撃,家名,9,-
氏家,卜全,65,61,56,54,54,126,108,290,-,うじいえ,ぼくぜん,1513年,1528年,1571年,59,-,家名存続,挟撃巧者,疾走,神出鬼没,勲功,7,-
氏家,行広,52,61,49,41,41,113,82,244,氏家卜全,うじいえ,ゆきひろ,1546年,1561年,1615年,70,-,所領拡大,突撃,速攻,全軍突撃,才覚,5,-
遠藤,慶隆,45,53,44,47,43,98,90,232,-,えんどう,よしたか,1550年,1565年,1632年,83,-,所領拡大,急襲,復帰,囮挑発,実利,8,-
可児,才蔵,55,86,62,23,25,141,48,251,-,かに,さいぞう,1554年,1569年,1613年,60,-,領地保全,奮闘,猛攻,全軍突撃,勲功,8,-
竹中,半兵衛,86,70,99,57,77,156,134,389,-,たけなか,はんべえ,1544年,1559年,1579年,36,-,天賦王佐,孔明之謀,参謀,十面埋伏,才覚,4,-
竹中,重門,66,56,78,67,74,122,141,341,竹中半兵衛,たけなか,しげかど,1573年,1588年,1631年,59,-,所領拡大,足止め,回避,神出鬼没,才覚,5,-
遠山,景任,58,59,58,43,48,117,91,266,遠山景前,とおやま,かげとう,1513年,1528年,1572年,60,-,家名存続,急襲,復帰,囮挑発,実利,5,-
日根野,弘就,47,70,53,43,45,117,88,258,-,ひねの,ひろなり,1520年,1535年,1602年,83,-,領地保全,突撃,速攻,全軍突撃,家名,10,-
前田,玄以,28,32,65,89,94,60,183,308,-,まえだ,げんい,1539年,1554年,1602年,64,-,家名存続,足止め,万全,囮挑発,家名,9,-
妻木,広忠,44,50,47,50,45,94,95,236,-,つまき,ひろただ,1514年,1529年,1582年,69,-,所領拡大,臨戦,万全,囮挑発,家名,3,-
溝尾,茂朝,36,61,45,30,32,97,62,204,-,みぞお,しげとも,1543年,1558年,1582年,40,-,家名存続,突撃,速攻,全軍突撃,実利,2,-
関,盛信,51,55,56,62,59,106,121,283,関盛雄,せき,もりのぶ,1515年,1530年,1593年,79,-,領地保全,急襲,復帰,囮挑発,家名,7,-
関,一政,45,51,53,43,45,96,88,237,関盛信,せき,かずまさ,1551年,1566年,1625年,75,-,家名存続,足止め,回避,神出鬼没,家名,8,-
神戸,具盛,36,40,41,41,38,76,79,196,-,かんべ,とももり,1526年,1541年,1600年,75,-,所領拡大,気勢崩し,堅固,囮挑発,実利,8,-
長野,稙藤,48,47,58,63,62,95,125,278,長野通藤,ながの,たねふじ,1504年,1519年,1562年,59,-,家名存続,用心,斥候,神出鬼没,勲功,6,-
長野,藤定,49,52,53,57,55,101,112,266,長野稙藤,ながの,ふじさだ,1526年,1541年,1562年,37,-,領地保全,臨戦,万全,囮挑発,勲功,8,-
北畠,具藤,36,52,47,53,48,88,101,236,北畠具教,きたばたけ,ともふじ,1558年,1573年,1576年,19,-,家名存続,気勢崩し,堅固,囮挑発,家名,6,-
細野,藤敦,41,53,64,69,68,94,137,295,細野藤光,ほその,ふじあつ,1540年,1555年,1603年,64,-,所領拡大,気勢崩し,堅固,囮挑発,家名,7,-
分部,光嘉,60,57,49,54,50,117,104,270,細野藤光,わけべ,みつよし,1552年,1567年,1601年,50,分部光高,家名存続,用心,斥候,神出鬼没,才覚,8,-
長尾,種常,48,58,58,49,52,106,101,265,-,ながお,たねつね,1541年,1556年,1605年,65,-,領地保全,突撃,速攻,全軍突撃,勲功,8,-
北畠,晴具,60,66,64,72,69,126,141,331,-,きたばたけ,はるとも,1503年,1518年,1563年,61,-,家名存続,臨戦,万全,囮挑発,家名,9,-
北畠,具教,70,80,36,50,40,150,90,276,北畠晴具,きたばたけ,とものり,1528年,1543年,1576年,49,-,所領拡大,奥義一閃,野襲,全軍突撃,家名,8,-
北畠,具房,28,34,31,34,27,62,61,154,北畠具教,きたばたけ,ともふさ,1547年,1562年,1580年,34,-,家名存続,臨戦,万全,囮挑発,家名,5,-
木造,雄利,59,55,75,50,63,114,113,302,木造俊茂,こづくり,かつとし,1543年,1558年,1610年,68,-,領地保全,足止め,回避,神出鬼没,実利,8,-
木造,具政,50,54,63,57,60,104,117,284,北畠晴具,こづくり,ともまさ,1530年,1545年,1584年,55,-,家名存続,急襲,復帰,囮挑発,実利,11,-
木造,長正,36,45,49,62,55,81,117,247,木造具政,こづくり,ながまさ,1554年,1569年,1604年,51,-,所領拡大,気勢崩し,堅固,囮挑発,家名,7,-
鳥屋尾,満栄,63,57,71,66,70,120,136,327,-,とやのお,みつひで,1508年,1523年,1577年,70,-,領地保全,急襲,復帰,囮挑発,勲功,3,-
藤方,朝成,47,51,62,53,57,98,110,270,-,ふじかた,ともなり,1530年,1545年,1597年,68,-,領地保全,足止め,回避,神出鬼没,勲功,11,-
藤方,安正,43,48,52,43,45,91,88,231,藤方朝成,ふじかた,やすまさ,1571年,1586年,1622年,52,-,家名存続,臨戦,万全,囮挑発,家名,8,-
九鬼,嘉隆,75,78,77,48,52,153,100,330,-,くき,よしたか,1542年,1557年,1600年,59,-,所領拡大,最大戦速,水戦,川舟移動・鉄甲船,実利,8,-
向井,正綱,71,66,61,31,42,137,73,271,-,むかい,まさつな,1557年,1572年,1625年,69,-,所領拡大,最大戦速,水戦,川舟移動,実利,6,-
武田,信虎,86,90,74,61,69,176,130,380,-,たけだ,のぶとら,1494年,1507年,1574年,81,-,天道照覧,一蓮托生,復讐,本陣斬込,才覚,13,-
武田,晴信,100,83,94,98,85,183,183,460,武田信虎,たけだ,はるのぶ,1521年,1536年,1573年,53,-,王道執行,甲斐の虎,名将,囮挑発,野心,14,三条の方
武田,義信,64,76,41,47,42,140,89,270,武田晴信,たけだ,よしのぶ,1538年,1553年,1567年,30,-,家督継承,早駆け,猛攻,本陣斬込,家名,5,-
諏訪,勝頼,85,87,72,55,60,172,115,359,武田晴信,すわ,かつより,1546年,1562年,1582年,37,-,虎を継ぐ者,早駆け,猛攻,本陣斬込,実利,10,-
仁科,盛信,74,81,65,51,53,155,104,324,武田晴信,にしな,もりのぶ,1557年,1572年,1582年,26,-,領地保全,臥薪嘗胆,伏兵,本陣斬込,仁義,4,-
武田,信繁,85,77,79,78,80,162,158,399,武田信虎,たけだ,のぶしげ,1525年,1540年,1561年,37,-,所領拡大,挟撃巧者,地利,神出鬼没,仁義,4,-
武田,信豊,63,60,54,47,49,123,96,273,武田信繁,たけだ,のぶとよ,1547年,1562年,1582年,36,-,所領拡大,急襲,復帰,囮挑発,家名,9,-
武田,信廉,31,30,45,58,51,61,109,215,武田信虎,たけだ,のぶかど,1528年,1543年,1582年,55,-,家名存続,臨戦,万全,囮挑発,芸道,6,-
小山田,信茂,69,72,77,44,50,141,94,312,小山田信有,おやまだ,のぶしげ,1539年,1552年,1582年,44,-,領地保全,突撃,速攻,全軍突撃,実利,12,-
穴山,信君,55,54,55,69,63,109,132,296,穴山信友,あなやま,のぶきみ,1541年,1556年,1582年,42,-,家名存続,突撃,速攻,全軍突撃,実利,10,-
秋山,信友,82,83,81,58,71,165,129,375,-,あきやま,のぶとも,1527年,1542年,1575年,49,-,所領拡大,奮闘,強撃,全軍突撃,才覚,6,-
高坂,昌信,86,78,88,66,81,164,147,399,-,こうさか,まさのぶ,1527年,1542年,1578年,52,-,所領拡大,采配,疾走,本陣斬込,勲功,4,-
馬場,信春,89,84,88,71,78,173,149,410,-,ばば,のぶはる,1515年,1530年,1575年,61,-,領地保全,鬼美濃,野襲,本陣斬込,勲功,4,-
内藤,昌豊,84,76,84,79,82,160,161,405,-,ないとう,まさとよ,1522年,1537年,1575年,54,-,家名存続,挟撃巧者,地利,神出鬼没,才覚,4,-
飯富,虎昌,76,84,62,44,51,160,95,317,飯富某,おぶ,とらまさ,1504年,1519年,1565年,62,-,所領拡大,赤備突撃,疾走,全軍突撃,家名,7,-
飯富,昌景,92,95,82,69,82,187,151,420,飯富某,おぶ,まさかげ,1529年,1545年,1575年,47,-,所領拡大,赤備突撃,野襲,本陣斬込,仁義,6,-
土屋,昌恒,51,71,43,30,31,122,61,226,-,つちや,まさつね,1556年,1571年,1582年,27,-,領地保全,突撃,速攻,全軍突撃,勲功,2,-
山本,勘助,80,70,95,70,79,150,149,394,-,やまもと,かんすけ,1493年,1508年,1561年,69,-,家名存続,挟撃巧者,参謀,啄木鳥・軍師看破,才覚,10,-
小幡,虎盛,66,72,55,35,41,138,76,269,-,おばた,とらもり,1505年,1520年,1561年,57,-,所領拡大,死兵,猛攻,全軍突撃,家名,5,-
小幡,景憲,74,73,79,54,64,147,118,344,小幡昌盛,おばた,かげのり,1572年,1586年,1663年,92,-,所領拡大,急襲,復帰,囮挑発,勲功,13,-
原,虎胤,71,86,65,28,41,157,69,291,-,はら,とらたね,1497年,1512年,1564年,68,-,領地保全,鬼美濃,斥候,本陣斬込,勲功,9,-
多田,満頼,64,73,72,31,48,137,79,288,-,ただ,みつより,1501年,1516年,1563年,63,-,家名存続,死兵,斥候,全軍突撃,才覚,7,-
跡部,勝資,28,35,58,74,67,63,141,262,-,あとべ,かつすけ,1547年,1562年,1582年,36,-,所領拡大,気勢崩し,堅固,囮挑発,家名,9,-
初鹿野,昌次,49,58,56,40,45,107,85,248,-,はじかの,まさつぐ,1545年,1560年,1624年,80,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-
大久保,長安,23,25,61,88,76,48,164,273,-,おおくぼ,ながやす,1545年,1560年,1613年,69,-,領地保全,太鼓持ち,技巧,囮挑発,実利,13,-
真田,幸隆,84,70,93,77,79,154,156,403,真田頼昌,さなだ,ゆきたか,1513年,1528年,1574年,62,-,家名存続,離間,参謀,囮挑発・森林強襲,家名,7,-
真田,信綱,64,79,64,47,49,143,96,303,真田幸隆,さなだ,のぶつな,1537年,1552年,1575年,39,-,家名存続,突撃,速攻,全軍突撃,家名,5,-
真田,昌幸,93,78,99,84,99,171,183,453,真田幸隆,さなだ,まさゆき,1547年,1562年,1611年,65,-,六文銭,比興の者,参謀,囮挑発・森林強襲,才覚,11,-
真田,信幸,83,73,85,79,86,156,165,406,真田昌幸,さなだ,のぶゆき,1566年,1581年,1658年,93,-,真田の守神,采配,地利,囮挑発,家名,4,-
真田,幸村,87,99,83,44,62,186,106,375,真田昌幸,さなだ,ゆきむら,1567年,1582年,1615年,49,-,日本一の兵,紅の一撃,殲滅,本陣斬込,仁義,1,-
真田,大助,60,71,61,32,43,131,75,267,真田幸村,さなだ,だいすけ,1600年,1614年,1615年,16,-,領地保全,突撃,殲滅,本陣斬込,勲功,1,-
矢沢,頼綱,71,66,61,65,64,137,129,327,真田頼昌,やざわ,よりつな,1518年,1533年,1597年,80,-,家名存続,挟撃巧者,地利,神出鬼没,家名,4,-
矢沢,頼康,66,69,52,50,49,135,99,286,矢沢頼綱,やざわ,よりやす,1553年,1568年,1625年,73,-,家名存続,早駆け,猛攻,本陣斬込,家名,5,-
村上,義清,82,86,72,53,59,168,112,352,-,むらかみ,よしきよ,1503年,1518年,1573年,71,-,家名存続,早駆け,猛攻,本陣斬込,家名,9,-
村上,国清,60,67,59,58,58,127,116,302,村上義清,むらかみ,くにきよ,1546年,1561年,1603年,58,-,所領拡大,急襲,復帰,囮挑発,家名,7,-
屋代,政国,56,56,55,59,57,112,116,283,-,やしろ,まさくに,1525年,1540年,1587年,63,-,家名存続,用心,斥候,神出鬼没,家名,8,-
屋代,勝永,49,51,58,49,52,100,101,259,-,やしろ,かつなが,1558年,1573年,1623年,66,屋代政国,領地保全,足止め,回避,神出鬼没,家名,7,-
須田,満親,51,53,76,72,76,104,148,328,-,すだ,みつちか,1526年,1541年,1598年,73,-,家名存続,太鼓持ち,万全,囮挑発,勲功,9,-
須田,長義,66,62,75,53,64,128,117,320,須田満親,すだ,ながよし,1579年,1594年,1615年,37,-,所領拡大,急襲,復帰,囮挑発,勲功,7,-
高梨,政頼,65,57,54,45,46,122,91,267,-,たかなし,まさより,1508年,1523年,1559年,52,-,領地保全,用心,斥候,神出鬼没,家名,8,-
高梨,秀政,48,61,47,53,48,109,101,257,高梨政頼,たかなし,ひでまさ,1528年,1543年,1572年,45,-,領地保全,突撃,速攻,全軍突撃,家名,7,-
高梨,頼親,41,47,51,45,45,88,90,229,高梨秀政,たかなし,よりちか,1557年,1572年,1603年,47,-,家名存続,臨戦,万全,囮挑発,家名,7,-
蘆田,信蕃,59,64,60,35,44,123,79,262,蘆田信守,あしだ,のぶしげ,1548年,1563年,1583年,36,-,所領拡大,突撃,速攻,全軍突撃,勲功,9,-
島津,忠直,45,48,50,45,44,93,89,232,-,しまづ,ただなお,1534年,1549年,1604年,71,-,領地保全,臨戦,万全,囮挑発,家名,7,-
小笠原,貞慶,56,66,47,61,53,122,114,283,小笠原長時,おがさわら,さだよし,1546年,1561年,1595年,50,-,領地保全,死兵,斥候,全軍突撃,家名,6,-
二木,重吉,48,52,64,59,63,100,122,286,二木重高,ふたつぎ,しげよし,1530年,1545年,1616年,87,-,家名存続,足止め,回避,神出鬼没,家名,4,-
犬甘,政徳,53,55,42,41,39,108,80,230,-,いぬかい,まさのり,1516年,1531年,1555年,40,-,所領拡大,臨戦,万全,囮挑発,才覚,5,-
犬甘,久知,57,62,62,44,51,119,95,276,犬甘政徳,いぬかい,ひさとも,1546年,1561年,1620年,75,-,領地保全,急襲,復帰,囮挑発,実利,4,-
諏訪,頼忠,38,45,47,60,53,83,113,243,諏訪満隣,すわ,よりただ,1536年,1551年,1606年,71,-,領地保全,足止め,回避,神出鬼没,才覚,7,-
保科,正俊,64,80,67,33,36,144,69,280,-,ほしな,まさとし,1509年,1524年,1593年,85,-,家名存続,奮闘,猛攻,全軍突撃,家名,8,-
木曾,義在,45,47,74,76,76,92,152,318,-,きそ,よしあり,1493年,1508年,1558年,66,-,所領拡大,激励,堅固,囮挑発,勲功,5,-
木曾,義康,52,61,60,63,63,113,126,299,木曾義在,きそ,よしやす,1514年,1529年,1579年,66,-,家名存続,急襲,復帰,囮挑発,実利,6,-
木曾,義昌,57,59,63,52,57,116,109,288,木曾義康,きそ,よしまさ,1540年,1555年,1595年,56,-,領地保全,早駆け,猛攻,本陣斬込,家名,9,-
山村,良候,37,45,66,63,66,82,129,277,-,やまむら,よしとき,1544年,1559年,1602年,59,-,家名存続,足止め,回避,神出鬼没,家名,6,-
山村,良勝,40,46,59,69,65,86,134,279,山村良候,やまむら,よしかつ,1563年,1578年,1634年,72,-,所領拡大,気勢崩し,堅固,囮挑発,家名,3,-
三木,良頼,58,58,59,59,59,116,118,293,三木直頼,みつき,よしより,1516年,1531年,1572年,57,-,所領拡大,急襲,復帰,囮挑発,家名,9,-
三木,自綱,65,60,74,64,71,125,135,334,三木良頼,みつき,よりつな,1540年,1555年,1587年,48,-,所領拡大,叱咤,伏兵,神出鬼没,勲功,10,-
三木,顕綱,48,51,62,45,52,99,97,258,三木良頼,みつき,あきつな,1544年,1559年,1583年,40,-,所領拡大,臨戦,万全,囮挑発,勲功,9,-
三木,国綱,29,44,63,45,52,73,97,233,-,みつき,くにつな,1546年,1561年,1585年,40,-,所領拡大,足止め,回避,神出鬼没,勲功,11,-
内ヶ島,氏理,45,62,43,44,41,107,85,235,内ヶ島雅氏,うちがしま,うじまさ,1541年,1556年,1585年,45,-,領地保全,突撃,速攻,全軍突撃,実利,9,-
江馬,時盛,38,46,48,52,48,84,100,232,江馬時経,えま,ときもり,1509年,1524年,1573年,65,-,所領拡大,臨戦,万全,囮挑発,実利,9,-
江馬,輝盛,52,56,67,58,63,108,121,296,江馬時盛,えま,てるもり,1535年,1550年,1582年,48,-,所領拡大,臨戦,万全,囮挑発,実利,13,-
塩屋,秋貞,38,43,49,68,59,81,127,257,-,しおや,あきさだ,1521年,1536年,1583年,63,-,所領拡大,気勢崩し,堅固,囮挑発,実利,6,-
長尾,景虎,98,100,83,61,73,198,134,415,長尾為景,ながお,かげとら,1530年,1545年,1578年,49,-,義戦,越後の龍,野襲,本陣斬込・車懸かり,仁義,5,-
長尾,顕景,81,76,78,78,76,157,154,389,長尾政景,ながお,あきかげ,1555年,1570年,1623年,69,-,烈戦,采配,疾走,神出鬼没,仁義,5,-
上杉,景虎,74,53,72,70,70,127,140,339,北条氏康,うえすぎ,かげとら,1554年,1569年,1579年,26,長尾景虎,家督継承,急襲,復帰,囮挑発,家名,11,-
長尾,政景,82,74,83,72,72,156,144,383,長尾房長,ながお,まさかげ,1526年,1541年,1564年,39,-,所領拡大,逆撫で,地利,囮挑発,勲功,8,仙桃院
長尾,景信,49,43,49,59,53,92,112,253,長尾房景,ながお,かげのぶ,1527年,1542年,1578年,52,-,家名存続,気勢崩し,堅固,囮挑発,家名,8,-
色部,勝長,76,71,52,56,53,147,109,308,-,いろべ,かつなが,1493年,1508年,1568年,76,-,領地保全,挟撃巧者,疾走,神出鬼没,実利,8,-
色部,顕長,41,41,46,55,49,82,104,232,色部勝長,いろべ,あきなが,1549年,1564年,1587年,39,-,家名存続,用心,斥候,神出鬼没,実利,5,-
色部,長実,64,65,47,50,45,129,95,271,色部勝長,いろべ,ながざね,1555年,1570年,1592年,38,-,所領拡大,急襲,猛攻,全軍突撃,才覚,7,-
大熊,朝秀,38,70,35,68,48,108,116,259,-,おおくま,ともひで,1517年,1532年,1582年,66,-,所領拡大,突撃,速攻,全軍突撃,勲功,11,-
柿崎,景家,87,94,82,63,82,181,145,408,-,かきざき,かげいえ,1513年,1528年,1575年,63,-,領地保全,越後二天,強撃,全軍突撃,勲功,8,-
河田,長親,73,44,77,84,76,117,160,354,-,かわだ,ながちか,1540年,1555年,1581年,42,-,家名存続,策士,強撃,神出鬼没,才覚,6,-
